Title,Director,Popularity
Stir Crazy,"Poitier, Sidney",40.0
Young Einstein,"Serious, Yahoo",47.0
"Killing, The","Kubrick, Stanley",51.0
"Cahill, United States Marshal","McLaglen, Andrew V.",12.0
"Savage Intruder, The","Wolfe, Donald",24.0
"Sheltering Sky, The","Bertolucci, Bernardo",64.0
An Officer & a Gentleman,"Hackford, Taylor",1.0
Black Widow,"Rafelson, Bob",54.0
Legal Eagles,"Reitman, Ivan",39.0
Bloody Mama,"Corman, Roger",17.0
A Patch of Blue,"Green, Guy",51.0
I Died a Thousand Times,"Heisler, Stuart",23.0
Tentacles,"Hellman, Oliver",62.0
"Scalphunters, The","Pollack, Sydney",33.0
A Day in October,"Madsen, Kenneth",76.0
A Fistful of Dollars,"Leone, Sergio",61.0
My Science Project,"Betnel, Jonathan",84.0
"Great Race, The","Edwards, Blake",88.0
"Searchers, The","Ford, John",9.0
Meteor,"Neame, Ronald",5.0
Rebel Without a Cause,"Ray, Nicholas",82.0
West Side Story,"Wise, Robert",38.0
Trash,"Morrissey, Paul",68.0
A Big Hand for the Little Lady,"Cook, Fielder",12.0
A Fine Madness,"Kershner, Irvin",6.0
"Glass Menagerie, The","Newman, Paul",68.0
Harry & Son,"Newman, Paul",57.0
"Rachel, Rachel","Newman, Paul",32.0
Paris Blues,"Ritt, Martin",54.0
"Fugitive Kind, The",,3.0
Mr. & Mrs. Bridge,,29.0
State of Grace,"Joanou, Phil",49.0
Shadow of a Doubt,"Hitchcock, Alfred",32.0
"Men, The","Zinnemann, Fred",27.0
Stage Fright,"Hitchcock, Alfred",72.0
Magic Town,"Wellman, William",4.0
That Lucky Touch,"Miles, Christopher",85.0
Lust for Gold,"Simon, S. Sylvan",57.0
Heat,"Jameson, Jerry",69.0
Employee's Entrance,,0.0
Night Is My Future,"Bergman, Ingmar",17.0
"Witches, The","Roeg, Nicolas",18.0
Vera Cruz,"Aldrich, Robert",71.0
Apache,"Aldrich, Robert",78.0
Twilight's Last Gleaming,"Aldrich, Robert",84.0
"Frisco Kid, The","Aldrich, Robert",10.0
Bank on the Stars,"Allen, Craig",
Law of Desire,"Almodóvar, Pedro",73.0
"Quiller Memorandum, The","Anderson, Michael",34.0
"Longest Day, The","Annakin, Ken",7.0
"Name of the Rose, The","Annaud, Jean-Jacques",8.0
Bloodsport,"Arnold, Newt",78.0
Torment,"Aslanian, Samson",8.0
Pelle the Conqueror,"August, Bille",14.0
Taps,"Becker, Harold",84.0
"Freshman, The","Bergman, Andrew",32.0
"Last Emperor, The","Bertolucci, Bernardo",1.0
"Grim Reaper, The","Bertolucci, Bernardo",35.0
Le Dernier Combat,"Besson, Luc",72.0
Too Beautiful for You,"Blier, Bertrand",35.0
"Fire, Ice & Dynamite","Bogner, Willy",72.0
Heavens Above,"Boulting, John",38.0
One Eyed Jacks,"Brando, Marlon",26.0
"Swing It, Sailor!","Cannon, Raymond",83.0
"Wolf at the Door, The","Carlsen, Henning",68.0
Modern Times,"Chaplin, Charles",4.0
Thunderbolt & Lightfoot,"Cimino, Michael",16.0
A Nous la Liberte,"Clair, Rene",60.0
Scum,"Clarke, Alan",68.0
"Inside Man, The","Clegg, Tom",45.0
Apocalypse Now,"Coppola, Francis Ford",8.0
"Bellboy & the Playgirls, The","Coppola, Francis Ford",7.0
"Terror, The","Corman, Roger",88.0
"Raven, The","Corman, Roger",85.0
They Came from Within,"Cronenberg, David",21.0
"Boy in Blue, The","Dale, Cynthia",63.0
Killer Tomatoes Strike Back,"De Bello, John",24.0
Attack of the Killer Tomatoes,"De Bello, John",47.0
"Untouchables, The","De Palma, Brian",7.0
Wise Guys,"De Palma, Brian",16.0
American Autobahn,"Degas, Andre",75.0
"Final Alliance, The","Di Leo, Mario",10.0
"Bounty, The","Donaldson, Roger",25.0
"Little Prince, The","Donen, Stanley",31.0
Posse,"Douglas, Kirk",76.0
Firefox,"Eastwood, Clint",64.0
Penitentiary III,"Fanaka, Jamaa",82.0
Ginger & Fred,"Fellini, Federico",29.0
"Wrong Box, The","Forbes, Bryan",40.0
Wagonmaster,"Ford, John",1.0
They Were Expendable,"Ford, John",88.0
"Last Hurrah, The","Ford, John",46.0
Law of the Golden West,"Ford, Philip",1.0
Pioneer Marshal,"Ford, Philip",8.0
Ranger of the Cherokee Strip,"Ford, Philip",31.0
Vanishing Westerner,"Ford, Philip",6.0
Bandits of Dark Canyon,"Ford, Philip",72.0
"Bold Frontiersman, The","Ford, Philip",18.0
"Wild Frontier, The","Ford, Philip",61.0
"Firemen's Ball, The","Forman, Milos",8.0
Local Hero,"Forsyth, Bill",54.0
"French Connection, The","Friedkin, William",88.0
To Live & Die in L. A.,"Friedkin, William",70.0
Ferry to Hong Kong,"Gilbert, Lewis",77.0
"Eddie Murphy, Delirious","Gower, Bruce",6.0
"Secret Policeman's Private Parts, The","Graef, Roger",36.0
Up the Creek,"Guest, Val",54.0
Yol,"Guney, Yilmaz",53.0
Sara Dane,"Hardy, Rod",75.0
Night Tide,"Harrington, Curtis",50.0
His Majesty O'Keefe,"Haskin, Byron",3.0
North to Alaska,"Hathaway, Henry",31.0
Flight to Fury,"Hellman, Monte",70.0
Ride in the Whirlwind,"Hellman, Monte",26.0
Powderkeg,"Heyes, Douglas",26.0
I Confess,"Hitchcock, Alfred",63.0
"Thirty-Nine Steps, The","Hitchcock, Alfred",8.0
Topaz,"Hitchcock, Alfred",12.0
Murder,"Hitchcock, Alfred",50.0
Dial M for Murder,"Hitchcock, Alfred",52.0
Young & Innocent,"Hitchcock, Alfred",43.0
Creature from Black Lake,"Houck, Joy, Jr.",88.0
Chariots of Fire,"Hudson, Hugh",6.0
Monty Python Live at the Hollywood Bowl,"Hughes, Terry",81.0
"Man Who Would Be King, The","Huston, John",6.0
Victory,"Huston, John",39.0
Kelly's Heroes,"Hutton, Brian G.",84.0
Next of Kin,"Irvin, John",63.0
Chattahoochee,"Jackson, Mick",30.0
"Angelic Conversation, The","Jarman, Derek",41.0
Down by Law,"Jarmusch, Jim",49.0
"Killing Fields, The","Joffe, Roland",6.0
Survival Zone,"Jones, Chris",25.0
Monty Python's Life of Brian,"Jones, Terry",11.0
Monty Python's the Meaning of Life,"Jones, Terry",33.0
"Red Tent, The","Kalatozov, Mikhail",7.0
Dakota,"Kane, Joseph",27.0
Viva Zapata!,"Kazan, Elia",86.0
"Green Berets, The","Kellogg, Ray",36.0
Big Bad John,"Kennedy, Burt",84.0
"Ticket of Leave Man, The","King, George",45.0
"D-Day, The Sixth of June","Koster, Henry",84.0
"Apprenticeship of Duddy Kravitz, The","Kotcheff, Ted",64.0
A Clockwork Orange,"Kubrick, Stanley",83.0
Full Metal Jacket,"Kubrick, Stanley",45.0
Sanshiro Sugata,"Kurosawa, Akira",85.0
Rhapsody in August,"Kurosawa, Akira",50.0
No Regrets for Our Youth,"Kurosawa, Akira",31.0
"Bad Sleep Well, The","Kurosawa, Akira",65.0
"Idiot, The","Kurosawa, Akira",40.0
Rashomon,"Kurosawa, Akira",59.0
Sanjuro,"Kurosawa, Akira",6.0
Seven Samurai,"Kurosawa, Akira",9.0
Throne of Blood,"Kurosawa, Akira",60.0
Yojimbo,"Kurosawa, Akira",60.0
Kagemusha,"Kurosawa, Akira",74.0
Ikiru,"Kurosawa, Akira",36.0
Empire of Spiritual Ninja,"Lambert, Bruce",26.0
"Ninja, the Violent Sorcerer","Lambert, Bruce",
Metropolis,"Lang, Fritz",49.0
Cloak & Dagger,"Lang, Fritz",55.0
Spiders,"Lang, Fritz",29.0
Human Desire,"Lang, Fritz",27.0
Spies,"Lang, Fritz",49.0
"Testament of Dr. Mabuse, The","Lang, Fritz",4.0
Fury,"Lang, Fritz",48.0
Mo' Better Blues,"Lee, Spike",78.0
Matt Talbot,"Lennon, Biddy W.",35.0
"Will Rogers, Look Back in Laughter","Leo, Malcolm",6.0
For a Few Dollars More,"Leone, Sergio",34.0
Thirty Seconds over Tokyo,"LeRoy, Mervyn",45.0
Class of 1984,"Lester, Mark L.",23.0
Juggernaut,"Lester, Richard",63.0
"Good Morning, Vietnam","Levinson, Barry",37.0
Blood on the Sun,"Lloyd, Frank",76.0
Paint Your Wagon,"Logan, Joshua",46.0
Ensign Pulver,"Logan, Joshua",16.0
Street People,"Lucidi, Maurizio",25.0
"Manhunt, The","Ludman, Larry",34.0
Operation Nam,"Ludman, Larry",37.0
"Fighting Seabees, The","Ludwig, Edward",35.0
Let It Rock,"Lynch, David",32.0
Eraserhead,"Lynch, David",2.0
"Ladykillers, The","Mackendrick, Alexander",28.0
Sweet Smell of Success,"Mackendrick, Alexander",12.0
And Now for Something Completely Different,"MacNaughton, Ian",44.0
Crackers,"Malle, Louis",17.0
Green Glove,"Mate, Rudolph",54.0
Menace on the Mountain,"McEveety, Vincent",69.0
In Old California,"McGann, William",27.0
"Thirty Is a Dangerous Age, Cynthia","McGrath, Joseph",28.0
Ffolkes,"McLaglen, Andrew V.",62.0
Chisum,"McLaglen, Andrew V.",72.0
"Hunt for Red October, The","McTiernan, John",8.0
Closely Watched Trains,"Menzel, Jiri",75.0
Executive Action,"Miller, David",6.0
Flying Tigers,"Miller, David",61.0
Father's Little Dividend,"Minnelli, Vincente",52.0
An Evening with Robin Williams,"Mischer, Don",68.0
Eddie Murphy Raw,"Murphy, Eddie",51.0
Harlem Nights,"Murphy, Eddie",11.0
Santee,"Nelson, Gary",47.0
"Good Father, The","Newell, Mike",42.0
Sometimes a Great Notion,"Newman, Paul",7.0
Catch Twenty-Two,"Nichols, Mike",50.0
Dark Age,"Nicholson, Arch",3.0
Deadline,"Nicholson, Arch",9.0
Mysterious Mr. Wong,"Nigh, William",71.0
A Month in the Country,"O'Connor, Pat",57.0
"Prom Night III, The Last Kiss","Oliver, Ron",29.0
"Blood in, Blood Out","Olmos, Edward James",88.0
"Wrong Arm of the Law, The","Owen, Cliff",25.0
Orphans,"Pakula, Alan J.",21.0
All the President's Men,"Pakula, Alan J.",45.0
J-Men Forever,"Patterson, Richard",59.0
"Wild Bunch, The","Peckinpah, Sam",50.0
Judgement in Berlin,"Penn, Leo",13.0
"Hot Line, The","Perier, Etienne",70.0
Rocket Gibraltar,"Petrie, Daniel",26.0
"Yakuza, The","Pollack, Sydney",16.0
Jeremiah Johnson,"Pollack, Sydney",88.0
Burn!,"Pontecorvo, Gillo",75.0
Magnum Force,"Post, Ted",28.0
Cyborg,"Pyun, Albert",31.0
"Prisoner of Zenda, The","Quine, Richard",12.0
Scream,"Quisenberry, Byron",24.0
"Assault, The","Rademakers, Fons",71.0
Flying Leathernecks,"Ray, Nicholas",23.0
What Comes Around,"Reed, Jerry",49.0
Mon Oncle D'Amerique,"Resnais, Alain",71.0
"Culpepper Cattle Company, The","Richards, Dick",29.0
"Survivors, The","Ritchie, Michael",52.0
Roadhouse Sixty-Six,"Robinson, John Mark",20.0
"Burning Poles, Cecil Taylor in Performance","Rochlin, Sheldon",82.0
Russkies,"Rosenthal, Rick",87.0
My Blue Heaven,"Ross, Herbert",63.0
Altered States,"Russell, Ken",22.0
"Cowboys, The","Rydell, Mark",58.0
"Code Name, Emerald","Sanger, Jonathan",22.0
Patton,"Schaffner, Franklin J.",8.0
Midnight Cowboy,"Schlesinger, John",33.0
"Falcon & the Snowman, The","Schlesinger, John",61.0
Maitresse,"Schroeder, Barbet",39.0
Disorderlies,"Schultz, Michael",69.0
Raging Bull,"Scorsese, Martin",25.0
Garrison Keillor's Home,"Sevush, Herb",6.0
Overland Stage Raiders,"Sherman, George",83.0
Pals of the Saddle,"Sherman, George",33.0
Alone in the Dark,"Sholder, Jack",75.0
"Beguiled, The","Siegel, Don",60.0
Escape from Alcatraz,"Siegel, Don",22.0
Criss Cross,"Siodmak, Robert",77.0
Midway,"Smight, Jack",36.0
Indiana Jones & the Last Crusade,"Spielberg, Steven",8.0
Duel,"Spielberg, Steven",48.0
Separate but Equal,"Stevens, George, Jr.",56.0
Gosta Berling's Saga,"Stiller, Mauritz",63.0
Platoon,"Stone, Oliver",8.0
"Crawling Hand, The","Strock, Herbert L.",79.0
Willy Wonka & the Chocolate Factory,"Stuart, Mel",65.0
Joe Kidd,"Sturges, John",79.0
"Santa Claus, The Movie","Szwarc, Jeannot",19.0
Boys Town,"Taurog, Norman",21.0
"Erasure, Live Wild!","Taylor, Gavin",48.0
A Question of Honor,"Taylor, Jud",80.0
Check Your Guns,"Taylor, Ray",80.0
West to Glory,"Taylor, Ray",43.0
"Throwback, The","Taylor, Ray",53.0
Border Feud,"Taylor, Ray",43.0
"Fighting Vigilantes, The","Taylor, Ray",21.0
Law of the Lash,"Taylor, Ray",66.0
Outlaw Country,"Taylor, Ray",62.0
Return of the Lash,"Taylor, Ray",78.0
Mystery of the Hooded Horsemen,"Taylor, Ray",52.0
Tex Rides with the Boy Scouts,"Taylor, Ray",17.0
Shadows of the West,"Taylor, Ray",40.0
Instant Karma,"Taylor, Roderick",47.0
Time Lock,"Thomas, Gerald",5.0
Appointment in Honduras,"Tourneur, Jacques",7.0
Danton,"Wajda, Andrzej",5.0
"Alamo, The","Wayne, John",29.0
"La Chevre, (The Goat)","Veber, Francis",24.0
Les Comperes,"Veber, Francis",54.0
Dead Poets Society,"Weir, Peter",8.0
"Othello, The Lost Masterpiece","Welles, Orson",23.0
"Battleground, The","Wellman, William",7.0
Kings of the Road (In the Course of Time),"Wenders, Wim",41.0
Hiroshima,"Werner, Peter",17.0
"Return of Martin Guerre, The","Vigne, Daniel",51.0
Somebody up There Likes Me,"Wise, Robert",56.0
Jack Benny Show,,51.0
Mutiny on the Bounty,,35.0
"Death Valley Days, Deadly Decision",,9.0
Monty Python's Flying Circus,,4.0
"Monty Python's Flying Circus, Vol 1.",,24.0
"Monty Python's Flying Circus, Vol 2.",,79.0
"Monty Python's Flying Circus, Vol 3.",,63.0
Valkenvania,,82.0
"Secret Policeman's Other Ball, The",,86.0
"Taming of the Shrew, The",,2.0
From Russia with Love,,6.0
"Offence, The",,6.0
Hollywood Mavericks,,22.0
Live at Harrah's,,6.0
"Persuaders, The Overture, The",,40.0
Nineteen Hundred,,82.0
"Van, The",,5.0
My Country Right or Wrong,,21.0
"Clint Eastwood Collection, The",,11.0
"Complete Dirty Harry, Magnum Force, The",,53.0
"Dead Pool, The",,26.0
"Good, the Bad & the Ugly, The",,68.0
"Rawhide, Premiere Episode",,54.0
Tightrope,,55.0
Hearts of Fire,,25.0
How the West Was Won,,45.0
"Mummy's Hand, The",,54.0
Great White Death,,26.0
"Mosquito Coast, The",,54.0
Today We Kill....Tomorrow We Die,,25.0
Tormenta Sobre Arizona,,81.0
Back to the Future II,,65.0
"Maverick, Duel at Sundown",,26.0
Shakespeare Series,,23.0
Deadly Trackers,,54.0
"American Film Institute, Alfred Hitchcock",,70.0
A Married Man,,79.0
Othello,,84.0
"Only Way Home, The",,60.0
Tales of Tomorrow,,0.0
Inherit the Wind,,18.0
This Is Horror,,3.0
Conversation Piece,,1.0
"Crimson Pirate, The",,60.0
"Devil's Disciple, The",,65.0
"Hallelujah Trail, The",,6.0
"Train, The",,68.0
Jay Leno: The American Dream,,67.0
Primal Rage,,3.0
"Industrial Symphony, The Dream of the Broken-Hearted",,49.0
Howie Mandel's North American Watusi Tour,,65.0
"Branford Marsalis, Steep",,52.0
L. A. Story,,81.0
Steve Martin Live!,,3.0
"Steve Martin, The Funnier Side of Eastern Canada",,34.0
"Runaway Barge, The",,38.0
Romulus & the Sabines,,76.0
"Saint, The",,29.0
Strange Brew,,24.0
Another Forty-Eight Hours,,54.0
"Best of Eddie Murphy, Saturday Night Live, The",,56.0
What about Bob?,,6.0
"Mummy's Revenge, The",,56.0
Harper,,86.0
"Left Handed Gun, The",,26.0
Once upon a Wheel,,40.0
"Prize, The",,66.0
"Secret War of Harry Frigg, The",,28.0
"Two Jakes, The",,3.0
Exile in Concert,,12.0
Joe Piscopo New Jersey Special,,14.0
"Joe Piscopo Video, The",,44.0
"Death Valley Days, No Gun Behind His Badge",,1.0
Salsa: The Motion Picture,,26.0
Hollywood's Greatest War Movies,,41.0
Out for Justice,,2.0
"Case of the Mukkinese Battle Horn, The",,45.0
"Goon Show Movie, The",,80.0
"Great McGonagall, The",,72.0
I'm All Right Jack,,23.0
"Magic Christian, The",,75.0
Never Let Go,,5.0
"Pink Panther, The",,77.0
Two-Way Stretch,,7.0
"Face at the Window, The",,79.0
Tom Thumb,,30.0
Beartooth,,70.0
James Taylor in Concert,,38.0
Gangbusters,,31.0
El Rublo de las Dos Caras,,83.0
"Law & Jake Wade, The",,68.0
Chuka,,47.0
Cry of the Innocent,,13.0
Edison the Man,,19.0
Keeper of the Flame,,76.0
"Spencer Tracy Legacy, The",,44.0
"Cheyenne, The Iron Trail",,1.0
"Dawn Rider, The",,44.0
"Duke, The Films of John Wayne",,70.0
Frontier Horizon,,73.0
Hell Town,,23.0
Hurricane Express,,7.0
"Hurricane Express, The",,68.0
In Harm's Way,,66.0
"John Wayne Collection, Red River, The",,49.0
John Wayne Collector's Limited Edition,,3.0
John Wayne Four Pack,,58.0
"John Wayne Matinee Double Feature, No. 2",,3.0
"John Wayne Matinee Double Feature, No. 3",,24.0
"John Wayne Matinee Double Feature, No. 4",,28.0
John Wayne Six Pack,,87.0
"John Wayne Western Greats, Rio Bravo",,22.0
King of the Pecos,,78.0
Lawless Frontier,,8.0
"Lawless Frontier, The",,35.0
"Lawless Nineties, The",,3.0
Lucky Texan,,48.0
McQ,,5.0
Neath Arizona Skies,,73.0
Neath the Arizona Skies,,28.0
Randy Rides Alone,,75.0
Range Feud,,77.0
Red River,,16.0
Riders of Destiny,,30.0
Sagebrush Trail,,23.0
"Shadow of the Eagle, The",,19.0
Blood & Guns,,43.0
Hot Money,,19.0
Comedy Tonight,,18.0
Robin Williams,,4.0
