Title,Director,Popularity
"Eyes of the Amaryllis, The","King Keller, Frederick",70.0
What Price Glory?,"Ford, John",4.0
Inauguration of the Pleasure Dome,"Anger, Kenneth",62.0
School Daze,"Lee, Spike",18.0
"End of Innocence, The","Cannon, Dyan",6.0
"Anderson Tapes, The","Lumet, Sidney",1.0
"Father Murphy, A Horse from Heaven","Claxton, William F.",28.0
Skull,"Bergman, Robert",19.0
"Quick & The Dead, The","Day, Robert",40.0
Best Defense,"Huyck, Willard",75.0
Dreamscape,"Ruben, Joseph",63.0
Black Rain,"Scott, Ridley",73.0
8 1/2,"Fellini, Federico",80.0
One Frightened Night,"Cabanne, Christy",33.0
"Year My Voice Broke, The","Duigan, John",71.0
Is Paris Burning?,"Clément, René",63.0
QB VII,"Gries, Tom",28.0
"Island of Dr. Moreau, The","Taylor, Don",54.0
Beyond the Limit,"Mackenzie, John",51.0
Secret Agent,"Hitchcock, Alfred",50.0
Paramount Comedy Theater: Well-Developed,,40.0
"Big Bust Out, The","Theumer, Ernst R. von",50.0
"Fourth Protocol, The","Mackenzie, John",14.0
Gremlins 2: The New Batch,"Dante, Joe",61.0
Fast Times at Ridgemont High,"Heckerling, Amy",65.0
Mannequin,"Gottlieb, Michael",23.0
Rabid,"Cronenberg, David",34.0
"Party, The","Edwards, Blake",32.0
"Vampire Raiders, Ninja Queen","Lambert, Bruce",15.0
Bloopers from Star Trek,,22.0
Destroyer,"Seiter, William A.",87.0
Party Girl,"Ray, Nicholas",85.0
Twin Peaks,"Lynch, David",86.0
Moonstruck,"Jewison, Norman",6.0
"Witches of Eastwick, The","Miller, George",8.0
Moonraker,"Gilbert, Lewis",32.0
Beat Street,"Lathan, Stan",72.0
Running Out of Luck,,16.0
Never on Tuesday,"Rifkin, Adam",77.0
Shampoo,"Ashby, Hal",69.0
Power,"Lumet, Sidney",43.0
Darling,"Schlesinger, John",44.0
"Ugly American, The","Englund, George",63.0
Ambassador Bill,"Taylor, Sam",66.0
"Big Trail, The","Walsh, Raoul",22.0
Hombre,"Ritt, Martin",50.0
Coogan's Bluff,"Siegel, Don",57.0
Penn & Teller Get Killed,"Penn, Arthur",12.0
Shy People,"Konchalovsky, Andrei",7.0
It's My Turn,"Weill, Claudia",0.0
Dangerous Liaisons,"Frears, Stephen",77.0
Reversal of Fortune,"Schroeder, Barbet",73.0
Meeting Venus,"Szabó, István",74.0
Tomorrow Is Forever,,65.0
Like Father Like Son,"Daniel, Rod",20.0
Rope,"Hitchcock, Alfred",39.0
Road to Hong Kong,"Panama, Norman",37.0
Shirley Valentine,"Gilbert, Lewis",51.0
City of Joy,"Joffe, Roland",87.0
"Appaloosa, The","Furie, Sidney J.",15.0
Seven Minutes in Heaven,"Feferman, Linda",49.0
"Hearts of Darkness, A Filmmaker's Apocalypse","Bahr, Fax",72.0
Tonight for Sure,"Coppola, Francis Ford",4.0
"White Hunter, Black Heart","Eastwood, Clint",66.0
Sundays & Cybele,"Bourguignon, Serge",11.0
Puppet Master,"Schmoeller, David",20.0
Night Gallery,"Spielberg, Steven",31.0
Pet Sematary,"Lambert, Mary",27.0
"America's Music, Gospel","Walton, Kip",13.0
Slap Shot,"Hill, George Roy",82.0
O. C. & Stiggs,"Altman, Robert",3.0
A Fish Called Wanda,"Crichton, Charles",7.0
A Lesson in Love,"Bergman, Ingmar",48.0
Brink of Life,"Bergman, Ingmar",57.0
Betty Blue,"Beineix, Jean-Jacques",71.0
Hair,"Forman, Milos",67.0
National Lampoon's Christmas Vacation,"S, Jeremiah",81.0
"Dersu Uzala, (The Hunter)","Kurosawa, Akira",81.0
Alice,"Allen, Woody",22.0
"Fifth Floor, The","Avedis, Howard Hikmet",74.0
Snow Kill,"Wright, Thomas J.",35.0
"People, The","Coppola, Francis Ford",36.0
True Grit,"Hathaway, Henry",77.0
"Battle of Midway, The","Ford, John",75.0
Three Godfathers,"Ford, John",72.0
"Hush, Hush, Sweet Charlotte","Aldrich, Robert",68.0
A Stolen Life,"Bernhardt, Curtis",20.0
"Old Maid, The","Goulding, Edmund",18.0
All about Eve,"Mankiewicz, Joseph L.",23.0
"Fly, The","Cronenberg, David",33.0
Quick Change,"Franklin, Howard ",24.0
"Lair of the White Worm, The","Russell, Ken",16.0
"Rainbow, The","Russell, Ken",53.0
"Man Who Knew Too Much, The","Hitchcock, Alfred",15.0
Beauty & the Beast,"Cocteau, Jean",14.0
Foreign Correspondent,"Hitchcock, Alfred",61.0
"Heiress, The","Wyler, William",81.0
"Boy Who Could Fly, The","Castle, Nick",25.0
"Terrorists, The","Wrede, Caspar",4.0
Wheel of Fortune,"Auer, John H.",36.0
Do the Right Thing,"Lee, Spike",5.0
"Court-Martial of Jackie Robinson, The","Peerce, Larry",33.0
Elvira Madigan,"Widerberg, Bo",28.0
Hurricane Smith,"Budds, Colin",16.0
Fair Game,,24.0
"Rape of the Sabines, The",,83.0
Risky Business,"Brickman, Paul",28.0
I Love All of You (Je Vous Aime),"Berri, Claude",40.0
Love Songs,"Chouraqui, Elie",15.0
Le Choix des Armes,"Comeau, Alain",15.0
Choice of Arms,"Corneau, Alan",87.0
March or Die,"Richards, Dick",59.0
"Last Metro, The","Truffaut, François",66.0
Jean de Florette,"Berri, Claude",87.0
Fat Man & Little Boy,"Joffe, Roland",86.0
Wild at Heart,"Lynch, David",6.0
Family Business,"Lumet, Sidney",5.0
Stand & Deliver,"Menendez, Ramon",19.0
Looker,"Crichton, Michael",62.0
Fire & Rain,"Jameson, Jerry",10.0
"Best of Candid Camera, The",,12.0
Seven Sinners,"Garnett, Tay",24.0
Judgment at Nuremberg,"Kramer, Stanley",39.0
Minsky's Follies,,12.0
"Novice, The",,72.0
Wings of Desire,"Wenders, Wim",71.0
Until the End of the World,"Wenders, Wim",57.0
Castaway,"Roeg, Nicolas",41.0
"Alfred Hitchcock Presents, Sorcerer's Apprentice",,60.0
Delicatessen,"Caro, Marc",78.0
"Great Train Robbery, The","Crichton, Michael",7.0
Hanover Street,"Hyams, Peter",81.0
Hunchback,"Tuchner, Michael",33.0
My Darling Clementine,"Ford, John",12.0
Wagon Master,"Ford, John",30.0
She Wore a Yellow Ribbon,"Ford, John",84.0
Fantasy Man,"Meagher, John",82.0
Monster in the Closet,"Dahlin, Bob",39.0
Double Edge,"Kollek, Amos",69.0
Network,"Lumet, Sidney",48.0
Chinatown,"Polanski, Roman",55.0
Three Days of the Condor,"Pollack, Sydney",87.0
Voyage of the Damned,"Rosenberg, Stuart",34.0
Barfly,"Schroeder, Barbet",23.0
"Wait Until Spring, Bandini",,20.0
Life with Father,"Curtiz, Michael",10.0
A Guy Named Joe,"Fleming, Victor",42.0
Stavisky,"Resnais, Alain",1.0
Time Bandits,"Gilliam, Terry",5.0
"Shining, The","Kubrick, Stanley",32.0
Flame of Barbary Coast,"Kane, Joseph",54.0
"Naked Truth, The",,34.0
"Brood, The","Cronenberg, David",51.0
"Molly Maguires, The","Ritt, Martin",3.0
Beverly Hills Cop,"Brest, Martin",41.0
Blind Man's Bluff,"Quinn, James",64.0
La Dolce Vita,"Fellini, Federico",20.0
After the Fox,"De Sica, Vittorio",60.0
"Man with the Golden Gun, The","Hamilton, Guy",41.0
Marbella,"Hermoso, Miguel",45.0
"Bobo, The","Parrish, Robert",80.0
"Big Bands, The",,48.0
Killer Image.,"Winning, David",8.0
Kandyland,"Schnitzer, Robert Allen",41.0
Campus Man,"Casden, Ron",38.0
Jubal,"Daves, Delmer",32.0
"Purple Rose of Cairo, The","Allen, Woody",20.0
Broadway Danny Rose,"Allen, Woody",14.0
Husbands & Wives,"Allen, Woody",80.0
Hannah & Her Sisters,"Allen, Woody",8.0
Hurricane,"Troell, Jan",8.0
Between Two Women,"Avnet, John",52.0
"Cannonball Run, The","Needham, Hal",80.0
Doughnuts & Society,"Collins, Lewis D.",28.0
Holocaust,"Chomsky, Marvin J.",1.0
Meridian,"Band, Charles",47.0
Diary of a Hitman,"London, Roy",67.0
Gor,"Kiersch, Fritz",2.0
Surrender,"Belson, Jerry",84.0
Places in the Heart,"Benton, Robert",83.0
Not Without My Daughter,"Gilbert, Brian",55.0
Heroes,"Kagan, Jeremy Paul",17.0
Absence of Malice,"Pollack, Sydney",76.0
Norma Rae,"Ritt, Martin",64.0
Steel Magnolias,"Ross, Herbert",66.0
"Burbs, The","Dante, Joe",42.0
"Empire Strikes Back, The","Kershner, Irvin",33.0
Star Wars,"Lucas, George",44.0
Return of the Jedi,"Marquand, Richard",4.0
Hear My Song,"Chelsom, Peter",72.0
Slightly Scarlet,"Dwan, Allan",52.0
Gunfight at the OK Corral,"Sturges, John",84.0
"Range Feud, The","Lederman, Ross",51.0
Bloodsucking Pharaohs in Pittsburgh,"Smithey, Alan",79.0
Roma,"Fellini, Federico",75.0
"China Syndrome, The","Bridges, James",43.0
"Morning After, The","Lumet, Sidney",6.0
Klute,"Pakula, Alan J.",15.0
"Electric Horseman, The","Pollack, Sydney",34.0
Cat Ballou,"Silverstein, Elliot",62.0
Coming Home,,1.0
Rebecca,"Hitchcock, Alfred",78.0
Jane Eyre,"Stevenson, Robert",44.0
Stacey!,"Sidaris, Andy",31.0
Naked Obsession,"Golden, Dan",26.0
"Stripped to Kill II, Live Girls","Ruben, Katt Shea",80.0
"Rain Killer, The","Stein, Ken",10.0
Valley Girl,"Coolidge, Martha",30.0
"Silence of the Lambs, The","Demme, Jonathan",8.0
Stealing Home,"Kampmann, Steven ",76.0
Napoleon & Samantha,"McEveety, Bernard",33.0
Five Corners,,88.0
"Blackboard Jungle, The","Brooks, Richard",66.0
My Left Foot,"Sheridan, Jim",32.0
Back to the Beach,"Hobbs, Lyndall",45.0
"Painted Veil, The","Boleslawski, Richard",57.0
Inspiration,"Brown, Clarence",66.0
Anna Christie,"Brown, Clarence",0.0
"Flesh & the Devil, The","Brown, Clarence",72.0
Woman of Affairs,"Brown, Clarence",83.0
Anna Karenina,"Brown, Clarence",35.0
Camille,"Cukor, George",74.0
Mata Hari,"Fitzmaurice, George",67.0
Wild Orchids,"Franklin, Sidney",70.0
Grand Hotel,"Goulding, Edmund",81.0
"Susan Lennox, Her Fall & Rise","Leonard, Robert Z.",64.0
Ninotchka,"Lubitsch, Ernst",40.0
Queen Christina,"Mamoulian, Rouben",82.0
"Mysterious Lady, The","Niblo, Fred",72.0
Joyless Street,"Pabst, Georg Wilhelm",73.0
"Single Standard, The","Robertson, John S.",73.0
As You Desire Me,,85.0
Romance,,62.0
A Child Is Waiting,"Cassavetes, John",60.0
Tootsie,"Pollack, Sydney",8.0
Let It Ride,"Pytka, Joe",88.0
Julius Caesar,"Mankiewicz, Joseph L.",50.0
Nineteen Forty-One,"Spielberg, Steven",24.0
Jaws,"Spielberg, Steven",6.0
Hot Pursuit,"Lisberger, Steven",44.0
Triumph of the Spirit,"Young, Robert M.",49.0
Brannigan,"Hickox, Douglas",64.0
Buffet Froid,"Blier, Bertrand",75.0
Salvador,"Stone, Oliver",77.0
"Horse Soldiers, The","Ford, John",76.0
Long John Silver,"Haskin, Byron",56.0
"Hustler, The","Rossen, Robert",43.0
"Star Chamber, The","Hyam, Peter",3.0
Clara's Heart,"Mulligan, Robert",60.0
Burglar,"Wilson, Hugh",44.0
Comic Relief,,69.0
Bloodbrothers,"Mulligan, Robert",11.0
Rain Man,"Levinson, Barry",8.0
Masculine Feminine,"Godard, Jean-Luc",20.0
"Outer Limits, The","Stanley, Paul",27.0
Mama's Dirty Girls,,62.0
"Last Ride of the Dalton Gang, The","Curtis, Dan",62.0
Why Me?,,74.0
Number Seventeen,"Hitchcock, Alfred",66.0
Manhunter,"Mann, Michael",19.0
"Bonfire of the Vanities, The","De Palma, Brian",82.0
Working Girl,"Nichols, Mike",25.0
Shining Through,"Seltzer, David",11.0
Slumber Party Massacre III,,40.0
Tokyo Pop,"Kuzui, Fran Rubel",2.0
Terminator 2,"Cameron, James",8.0
"Terminator, The","Cameron, James",17.0
King Kong Lives!,"Guillermin, John",20.0
Those Daring Young Men in Their Jaunty,,59.0
